Maker,Model,Class,Fuel
Ford,Figo,Hatchback,Fossil
Honda,Amaze,Sedan,Fossil
Honda,Brio,Hatchback,Fossil
Honda,City,Sedan,Fossil
Honda,Elevate,SUV,Electric
Honda,Jazz,Hatchback,Fossil
Honda,WR-V,SUV,Fossil
Hyundai,Alcazar,SUV,Fossil
Hyundai,Aura,Sedan,Fossil
Hyundai,Creta,SUV,Fossil
Hyundai,Exter,Crossover,Fossil
Hyundai,Grand i10 Nios,Hatchback,Fossil
Hyundai,Grand i10,Hatchback,Fossil
Hyundai,Venue,SUV,Fossil
Hyundai,Verna,Sedan,Fossil
Hyundai,i10,Hatchback,Fossil
Hyundai,i20,Hatchback,Fossil
Jeep,Compass,SUV,Fossil
Kia,Carens,MPV,Fossil
Kia,Carnival,MPV,Fossil
Kia,EV6,SUV,Electric
Kia,Seltos,SUV,Fossil
Kia,Sonet,SUV,Fossil
MG,Hector,SUV,Fossil
MG,Comet EV,Hatchback,Electric
MG,Windsor EV,MPV,Electric
Mahindra,Bolero,SUV,Fossil
Mahindra,Scorpio,SUV,Fossil
Mahindra,Thar,SUV,Fossil
Mahindra,XUV300,SUV,Fossil
Mahindra,XUV3XO,SUV,Fossil
Mahindra,XUV400,SUV,Fossil
Mahindra,XUV700,SUV,Fossil
Maruti Suzuki,800,Hatchback,Fossil
Maruti Suzuki,Alto,Hatchback,Fossil
Maruti Suzuki,Baleno,Hatchback,Fossil
Maruti Suzuki,Brezza,SUV,Fossil
Maruti Suzuki,Celerio,Hatchback,Fossil
Maruti Suzuki,Dzire,Sedan,Fossil
Maruti Suzuki,Ertiga,MPV,Fossil
Maruti Suzuki,Fronx,Crossover,Fossil
Maruti Suzuki,Grand Vitara,SUV,Hybrid
Maruti Suzuki,Ignis,Hatchback,Fossil
Maruti Suzuki,S-Presso,Hatchback,Fossil
Maruti Suzuki,Swift Dzire,Sedan,Fossil
Maruti Suzuki,Swift,Hatchback,Fossil
Maruti Suzuki,WagonR,Hatchback,Fossil
Nissan,Magnite,SUV,Fossil
Renault,Kiger,SUV,Fossil
Renault,Triber,MPV,Fossil
Skoda,Kushaq,SUV,Fossil
Tata,Altroz,Hatchback,Fossil
Tata,Harrier,SUV,Fossil
Tata,Harrier EV,SUV,Electric
Tata,Nexon EV,SUV,Electric
Tata,Nexon,SUV,Fossil
Tata,Punch,SUV,Fossil
Tata,Punch EV,Compact SUV,Electric
Tata,Safari,SUV,Fossil
Tata,Tiago,Hatchback,Fossil
Tata,Tigor,Sedan,Fossil
Toyota,Fortuner,SUV,Fossil
Toyota,Glanza,Hatchback,Fossil
Toyota,Innova,MPV,Fossil
Toyota,Urban Cruiser,SUV,Fossil
Volkswagen,Taigun,SUV,Fossil
