Location,Maker,Model,Color
north wall,Hyundai,Grand i10,White
north wall,Kia,Carens,Brown
north wall,Honda,Brio,Red
north wall,Tata,Tiago,Red
north wall,Maruti Suzuki,Brezza,White
north wall,Hyundai,Creta,White
north wall,Hyundai,Creta,White
north wall,Hyundai,Creta,White
north wall,Tata,Nexon,Grey
north wall,Maruti Suzuki,Ertiga,White
north wall,Hyundai,i10,White
north wall,Hyundai,Venue,Grey
north wall,Mahindra,XUV3XO,Blue
north wall,Maruti Suzuki,Swift,Silver
north wall,Tata,Nexon,Black
north wall,Hyundai,Creta,Dark Grey
north wall,Honda,Jazz,Silver
north wall,Maruti Suzuki,Maruti 800,Blue
north wall,Hyundai,Verna,Brown
north wall,Tata,Tiago,Red
north wall,Kia,Seltos,White
north wall,Maruti Suzuki,Baleno,Silver
north wall,Honda,City,Black
north wall,Kia,Seltos,Grey
north wall,Hyundai,Grand i10,Grey
north wall,Ford,Figo,Red
south wall,Skoda,Kushaq,Black
south wall,Kia,Seltos,White
south wall,Maruti Suzuki,Baleno,Blue
south wall,Hyundai,Creta,Black
south wall,Hyundai,Grand i10,Grey
south wall,Hyundai,Creta,Black
south wall,Tata,Nexon,White
south wall,Honda,Jazz,Orange
south wall,Kia,Seltos,Black
south wall,Hyundai,i20,Grey
south wall,Maruti Suzuki,Swift,Silver
south wall,Hyundai,i20,White
south wall,Honda,Amaze,Red
south wall,Kia,Carens,Black
south wall,Maruti Suzuki,Grand Vitara,White
south wall,Toyota,Innova,Silver
south wall,Tata,Safari,White
south wall,Maruti Suzuki,Swift Dzire,Blue
south wall,Tata,Punch,Orange
south wall,Hyundai,i20,Red
south wall,Maruti Suzuki,Celerio,Grey
south wall,Hyundai,Creta,White
south wall,Tata,Nexon,Blue
south wall,Honda,Elevate,Dark Grey
south wall,Kia,Seltos,Black
south wall,Mahindra,XUV700,Black
inner round,Mahindra,Thar,Black
inner round,Tata,Nexon EV,Blue
inner round,Hyundai,Creta,White
inner round,Tata,Safari,Black
inner round,Hyundai,i20,Silver
inner round,Maruti Suzuki,Celerio,White
inner round,Hyundai,Creta,Black
inner round,Hyundai,i20,White
inner round,Volkswagen,Polo,Red
inner round,Kia,Sonet,Grey
inner round,Maruti Suzuki,Unknown Sedan,White
inner round,Hyundai,Creta,White
inner round,Hyundai,Creta,White
inner round,Honda,Safari,Blue
inner round,Tata,Nexon,Brown
inner round,Hyundai,Venue,Blue
inner round,Renault,Scala,Silver
inner round,Maruti Suzuki,S-Presso,White
inner round,Tata,Zest,Dark Grey
inner round,Maruti Suzuki,Baleno,Silver
inner round,Hyundai,i10,Silver
inner round,Maruti Suzuki,Swift Dzire,Grey
inner round,Maruti Suzuki,WagonR,Silver
inner round,Hyundai,i20,Grey
inner round,Fiat,Punto,Red
inner round,Skoda,Rapid,Red
inner round,Toyota,Innova,Silver
inner round,Hyundai,i10,Black
inner round,Toyota,Fortuner,White
inner round,Honda,City,Grey
